user_id,movie_id,movie_score
1000905,1291543,4
1000905,1291545,0
1000905,1291548,5
1000905,1291558,4
1000905,1291561,4
1000905,1291572,5
1000905,1291577,4
1000905,1291580,4
1000905,1291581,5
1000905,1291582,4
1000905,1291818,5
1000905,1291824,5
1000905,1291828,5
1000905,1291832,4
1000905,1291836,5
1000905,1291841,5
1000905,1291847,3
1000905,1291850,5
1000905,1291851,5
1000905,1291856,4
1000905,1291868,4
1000905,1291870,4
1000905,1291875,4
1000905,1291879,5
1000905,1291990,5
1000905,1292001,5
1000905,1292052,5
1000905,1292064,5
1000905,1292212,0
1000905,1292213,5
1000905,1292214,4
1000905,1292215,5
1000905,1292220,5
1000905,1292222,5
1000905,1292223,4
1000905,1292225,5
1000905,1292226,4
1000905,1292229,5
1000905,1292233,4
1000905,1292271,4
1000905,1292275,3
1000905,1292286,5
1000905,1292287,5
1000905,1292331,5
1000905,1292343,5
1000905,1292365,5
1000905,1292444,4
1000905,1292523,0
1000905,1292553,5
1000905,1292656,5
1000905,1292659,4
1000905,1292720,5
1000905,1292790,5
1000905,1293088,4
1000905,1293167,4
1000905,1293172,4
1000905,1293182,5
1000905,1293315,4
1000905,1293351,4
1000905,1293353,4
1000905,1293359,5
1000905,1293530,4
1000905,1293531,4
1000905,1293691,5
1000905,1294240,4
1000905,1294417,5
1000905,1294639,5
1000905,1295045,5
1000905,1295124,0
1000905,1295229,4
1000905,1295280,4
1000905,1295399,5
1000905,1295686,5
1000905,1296339,5
1000905,1297574,5
1000905,1297630,4
1000905,1297747,4
1000905,1297763,5
1000905,1298112,3
1000905,1298586,5
1000905,1298624,5
1000905,1298898,4
1000905,1298909,5
1000905,1299062,4
1000905,1299080,4
1000905,1299131,5
1000905,1299288,4
1000905,1299398,5
1000905,1299603,4
1000905,1300056,4
1000905,1300064,3
1000905,1300299,5
1000905,1300741,5
1000905,1301168,4
1000905,1301171,5
1000905,1301445,5
1000905,1301578,4
1000905,1302425,4
1000905,1302642,4
1000905,1302827,3
1000905,1303037,4
1000905,1303139,5
1000905,1303394,4
1000905,1303630,3
1000905,1304900,4
1000905,1305279,5
1000905,1306249,5
1000905,1306317,4
1000905,1306471,4
1000905,1306526,5
1000905,1306666,5
1000905,1307106,5
1000905,1307528,4
1000905,1307739,5
1000905,1307914,4
1000905,1308575,5
1000905,1308599,0
1000905,1308755,5
1000905,1308831,4
1000905,1308833,4
1000905,1308854,4
1000905,1308857,5
1000905,1308865,5
1000905,1309004,5
1000905,1309021,4
1000905,1309045,5
1000905,1309046,4
1000905,1309069,3
1000905,1309163,5
1000905,1309199,4
1000905,1309220,5
1000905,1315574,5
1000905,1316505,4
1000905,1316580,5
1000905,1329962,4
1000905,1388216,5
1000905,1410556,4
1000905,1428175,5
1000905,1432146,5
1000905,1438652,4
1000905,1441238,0
1000905,1449381,4
1000905,1455979,5
1000905,1459368,4
1000905,1466007,4
1000905,1467044,0
1000905,1468155,4
1000905,1469441,5
1000905,1471507,4
1000905,1474180,4
1000905,1482072,4
1000905,1484091,5
1000905,1484760,5
1000905,1485260,4
1000905,1498818,5
1000905,1585146,3
1000905,1652587,5
1000905,1756073,4
1000905,1760104,4
1000905,1760622,5
1000905,1763134,5
1000905,1766086,4
1000905,1767042,4
1000905,1777612,5
1000905,1780330,4
1000905,1781126,4
1000905,1781597,4
1000905,1782004,4
1000905,1783457,4
1000905,1786739,4
1000905,1786743,3
1000905,1787291,5
1000905,1790577,5
1000905,1793491,4
1000905,1793909,3
1000905,1796939,5
1000905,1817169,4
1000905,1820156,3
1000905,1845625,4
1000905,1858802,5
1000905,1863941,4
1000905,1866475,5
1000905,1867335,5
1000905,1867408,4
1000905,1870436,4
1000905,1872133,4
1000905,1876781,2
1000905,1883755,4
1000905,1885124,4
1000905,1890784,5
1000905,1898223,5
1000905,1899125,5
1000905,1900841,5
